,index,variable,value
41483,Nrm1,367.3904858604996,0.0
41484,Cdh1,367.4004858604996,1.0
41485,Clb6,367.4004858604996,0.0
41486,MBF,367.4004858604996,1.0
41487,Nrm1,367.4004858604996,0.0
41488,Cdh1,367.4104858604996,1.0
41489,Clb6,367.4104858604996,0.0
41490,MBF,367.4104858604996,1.0
41491,Nrm1,367.4104858604996,0.0
41492,Cdh1,367.4204858604996,1.0
41493,Clb6,367.4204858604996,0.0
41494,MBF,367.4204858604996,1.0
41495,Nrm1,367.4204858604996,0.0
41496,Cdh1,367.4304858604996,1.0
41497,Clb6,367.4304858604996,0.0
41498,MBF,367.4304858604996,1.0
41499,Nrm1,367.4304858604996,0.0
41500,Cdh1,367.44048586049956,1.0
41501,Clb6,367.44048586049956,0.0
